# GSV_1,GSV_2,GSV_3,nw,kw
0.685370,0.258110,0.105180,1.330000,0.062300
0.683430,0.259260,0.105720,1.330000,0.062700
0.681500,0.260400,0.106240,1.330000,0.063600
0.679590,0.261550,0.106770,1.330000,0.064100
0.677680,0.262690,0.107290,1.330000,0.064600
0.675780,0.263840,0.107800,1.330000,0.065600
0.673900,0.264990,0.108310,1.330000,0.066400
0.672020,0.266140,0.108810,1.330000,0.066700
0.670160,0.267300,0.109300,1.330000,0.067000
0.668310,0.268470,0.109780,1.330000,0.067700
0.666470,0.269650,0.110240,1.330000,0.069000
0.664640,0.270840,0.110680,1.330000,0.069900
0.662830,0.272040,0.111110,1.330000,0.070400
0.661030,0.273250,0.111510,1.330000,0.070900
0.659240,0.274480,0.111890,1.330000,0.071900
0.657470,0.275730,0.112250,1.330000,0.073600
0.655710,0.276990,0.112590,1.330000,0.074900
0.653960,0.278270,0.112900,1.330000,0.075600
0.652220,0.279560,0.113200,1.330000,0.076300
0.650500,0.280870,0.113470,1.330000,0.077900
0.648780,0.282180,0.113730,1.330000,0.080900
0.647080,0.283510,0.113970,1.330000,0.082900
0.645380,0.284850,0.114190,1.330000,0.084100
0.643700,0.286200,0.114400,1.330000,0.085300
0.642020,0.287560,0.114590,1.330000,0.088000
0.640350,0.288920,0.114760,1.330000,0.092700
0.638680,0.290300,0.114920,1.330000,0.095800
0.637030,0.291690,0.115070,1.330000,0.098200
0.635370,0.293080,0.115210,1.330000,0.101000
0.633720,0.294480,0.115340,1.330000,0.104000
0.632070,0.295890,0.115460,1.330000,0.107000
0.630430,0.297300,0.115570,1.330000,0.111000
0.628780,0.298720,0.115680,1.330000,0.119000
0.627130,0.300140,0.115790,1.330000,0.125000
0.625480,0.301570,0.115890,1.330000,0.128000
0.623830,0.303000,0.115990,1.330000,0.133000
0.622170,0.304440,0.116080,1.330000,0.137000
0.620520,0.305870,0.116180,1.330000,0.141000
0.618870,0.307300,0.116280,1.330000,0.147000
0.617220,0.308730,0.116380,1.330000,0.156000
0.615570,0.310160,0.116480,1.330000,0.164000
